serie,nivel,trans,season,detrend,deseasonalize
sindrome_gripal,MUNICIPIO,,harmonic,T,F
sindrome_gripal,UNIDADE,,harmonic,T,F
arbo,MUNICIPIO,,harmonic,T,F
arbo,UNIDADE,,harmonic,T,F
covid,MUNICIPIO,log,harmonic,T,F
covid,UNIDADE,log,harmonic,T,F
bronquiolite,MUNICIPIO,,harmonic,T,F
bronquiolite,UNIDADE,,harmonic,T,F
tosse,MUNICIPIO,,harmonic,T,F
tosse,UNIDADE,,harmonic,T,F
mialgia,MUNICIPIO,,harmonic,T,F
mialgia,UNIDADE,,harmonic,T,F
artralgia,MUNICIPIO,,harmonic,T,F
artralgia,UNIDADE,,harmonic,T,F
cefaleia,MUNICIPIO,,harmonic,T,F
cefaleia,UNIDADE,,harmonic,T,F
febre,MUNICIPIO,,harmonic,T,F
febre,UNIDADE,,harmonic,T,F
nausea,MUNICIPIO,,harmonic,T,F
nausea,UNIDADE,,harmonic,T,F
viroseNE,MUNICIPIO,,harmonic,T,F
viroseNE,UNIDADE,,harmonic,T,F
diarreia,MUNICIPIO,,harmonic,T,F
diarreia,UNIDADE,,harmonic,T,F
